Student,Advisor
"Georgios Tziritas","Nikos Paragios"
"Jingxuan Li","Lei Li"
"Debra E. VanderMeer","Krithi Ramamritham"
"Dong Deng","Guoliang Li"
"Qinli Yang","Claudia Plant"
"Son T. Mai","Claudia Plant"
"Afra M. Wohlschläger","Claudia Plant"
"Daniel Zoran","Yair Weiss"
"Zonghuan Wu","Vijay V. Raghavan 0001"
"Vibhav Vineet","Philip H. S. Torr"
"Gleb Gusev","Pavel Serdyukov"
"Yong Seok Heo","Kyoung Mu Lee"
"Wen Li","Dong Xu"
"Aaron J. Elmore","Divyakant Agrawal"
"Vassilis Papadimos","David Maier"
"Kristin Tufte","David Maier"
"Andreas Argyriou","Massimiliano Pontil"
"Yanwei Pang","Lei Zhang 0001"
"Cheong Hee Park","Haesun Park"
"J. Scott Olsson","Douglas W. Oard"
"Sakrapee Paisitkriangkrai","Chunhua Shen"
"Dawei Wang","Wei Ding 0003"
"Zhaozheng Yin","Robert T. Collins"
"Iraklis Varlamis","Michalis Vazirgiannis"
"Robert V. Lindsey","Michael Mozer"
"Harold Pashler","Michael Mozer"
"Lenwood S. Heath","Edward A. Fox"
"Xiaojie Yuan","Ying Zhang"
"Xiaojie Guo","Yi Ma"
"Marcus Fontoura","Vanja Josifovski"
"Nesreen K. Ahmed","Jennifer Neville"
"Joseph J. Pfeiffer III","Jennifer Neville"
"Bo Zong","Ambuj K. Singh"
"Sibel Adali","V. S. Subrahmanian"
"Davide Mottin","Themis Palpanas"
"Cyril Furtlehner","Michèle Sebag"
"Xiaojun Chen 0004","Joshua Zhexue Huang"
"Xiaofei Xu","Joshua Zhexue Huang"
"Hongxia Yang","Jingrui He"
"Shin Matsushima","Hiroshi Nakagawa"
"Hidekazu Oiwa","Hiroshi Nakagawa"
"Giulio Rossetti","Dino Pedreschi"
"Gisele L. Pappa","Marcos André Gonçalves"
"Hau Chan","Leman Akoglu"
"Willis Lang","Jignesh M. Patel"
"Li Xu","Jiaya Jia"
"Renjie Liao","Jiaya Jia"
"Gregory Randall","Guillermo Sapiro"
"Yun Zeng","Dimitris Samaras"
"Wai Kit Wong","David Wai-Lok Cheung"
"Chi Lap Yip","David Wai-Lok Cheung"
"Liangjie Hong","Brian D. Davison 0001"
"Jiajun Wu","Zhuowen Tu"
"Po-Ruey Lei","Wen-Chih Peng"
"Ling-Yin Wei","Wen-Chih Peng"
"Claudio Bettini","Sushil Jajodia"
"Tom Barclay","Jim Gray"
"Xin Lin","Jianliang Xu"
"Kihwan Kim","Irfan A. Essa"
"David Minnen","Irfan A. Essa"
"Yuan An","Xiaohua Hu"
"Bernd Heisele","Tomaso A. Poggio"
"Stefano Paraboschi","Stefano Ceri"
"Takeshi Yamada","Naonori Ueda"
"Ying Shan","Harpreet S. Sawhney"
"Risheng Liu","Zhouchen Lin"
"Ming Zhao 0003","Yang Song"
"Nils Pharo","Shlomo Geva"
"Marc Sobel","Longin Jan Latecki"
"Gwen Littlewort","Javier R. Movellan"
"Lorraine Goeuriot","Gareth J. F. Jones"
"Lu Ren","David B. Dunson"
"Junjie Yao","Bin Cui"
"Hongzhi Yin","Bin Cui"
"Yusuke Sugano","Yoichi Sato"
"Alessandro Perina","Vittorio Murino"
"Umberto Castellani","Vittorio Murino"
"Yu Cao","Song Wang"
"Zhiqi Zhang","Song Wang"
"Toshiro Kubota","Song Wang"
"Jeff LeFevre","Neoklis Polyzotis"
"Honghui Zhang","Long Quan"
"Younghoon Kim","Kyuseok Shim"
"Yuanyuan Liu","James Cheng"
"Winfried Denk","H. Sebastian Seung"
"Richard H. R. Hahnloser","H. Sebastian Seung"
"Kevin L. Briggman","H. Sebastian Seung"
"Guang-Tong Zhou","Greg Mori"
"Xueqing Gong","Aoying Zhou"
"Abhijith Kashyap","Vagelis Hristidis"
"Ying Shan","Rakesh Kumar 0001"
"Le Wu","Qi Liu"
"Jialei Wang","Peilin Zhao"
"Dustin Lang","Nando de Freitas"
"Miaomiao Liu","Mathieu Salzmann"
"Aaron J. Elmore","Amr El Abbadi"
"Hui Qian","Zhihua Zhang"
"Renato Ferreira","Wagner Meira Jr."
"Leonardo C. da Rocha","Wagner Meira Jr."
"François Laviolette","Mario Marchand"
"Jan-Eike Michels","Jim Melton"
"Eno Töppe","Daniel Cremers"
"Jasmine Novak","Andrew Tomkins"
"Toufiq Parag","Ahmed M. Elgammal"
"Yuhong Xiong","Zhongzhi Shi"
"Pei Li","Xiaoyong Du"
"Ifeoma Nwogu","Venu Govindaraju"
"Noriko Takaya","Tomoharu Iwata"
"James Petterson","Tibério S. Caetano"
"Aaron Defazio","Tibério S. Caetano"
"Yaliang Li","Qi Li"
"Lu Su","Qi Li"
"Yinqiang Zheng","Masatoshi Okutomi"
"Yan Qi 0002","K. Selçuk Candan"
"David R. Kaeli","Jennifer G. Dy"
"Jingkuan Song","Heng Tao Shen"
"Melinda T. Gervasio","Gerald DeJong"
"Nils Pharo","Gabriella Kazai"
"Nenad Tomasev","Dunja Mladenic"
"Amir Sadovnik","Andrew C. Gallagher"
"Karen Simonyan","Andrea Vedaldi"
"Mengmeng Liu","Zachary G. Ives"
"Maneesh Singh","Visvanathan Ramesh"
"Marco Pedersoli","Tinne Tuytelaars"
"Ralph Gross","Simon Baker"
"Nils Pharo","Ralf Schenkel"
"Ping Liu","Li Guo"
"Guy Rosman","John W. Fisher III"
"Tianfan Xue","Jianzhuang Liu"
"Mingwang Tang","Feifei Li"
"Bin Yao 0002","Feifei Li"
"Tianbing Xu","Bo Long"
"Bhargav Kanagal","Amol Deshpande"
"Longyin Wen","Zhen Lei"
"Jérome Revaud","Zaïd Harchaoui"
"Peng Zhou","Yi-Dong Shen"
"B. R. Badrinath","Tomasz Imielinski"
"Gavin Taylor","Ronald Parr"
"Rui M. Castro","Robert D. Nowak"
"Bo Yang 0008","Ram Nevatia"
"Azzah Al-Maskari","Paul D. Clough"
"Arjun Dasgupta","Nan Zhang 0004"
"Hongliang Fei","Jun Huan"
"Yi Wu 0001","Haibin Ling"
"Joonseok Lee","Guy Lebanon"
"Alon Y. Levy","Daniela Florescu"
"Ion Muslea","Craig A. Knoblock"
"George Wolberg","Zhigang Zhu"
"Lanbo Zhang","Yi Zhang"
"Brandon Norick","Xiao Yu"
"Bernd Fischer 0004","Volker Roth"
"Daniel J. Lizotte","Michael H. Bowling"
"Minoru Kanehisa","Hiroshi Mamitsuka"
"Kiyoko F. Aoki-Kinoshita","Hiroshi Mamitsuka"
"Marwan A. Mattar","Erik G. Learned-Miller"
"Hung Q. Ngo","Christopher Ré"
"Sebastian Schuon","Christian Theobalt"
"Laura Leal-Taixé","Bodo Rosenhahn"
"Rémi Bardenet","Balázs Kégl"
"Hong Cao","Xiaoli Li"
"Oksana Yakhnenko","Vasant Honavar"
"Michael Chau","Reynold Cheng"
"Cyril Goutte","Massih-Reza Amini"
"Yu-Han Chang","Leslie Pack Kaelbling"
"Xufei Wang","Lei Tang"
"Jeffrey Jestes","Ke Yi"
"Hichem Sahbi","Jean-Yves Audibert"
"Chavdar Botev","Jayavel Shanmugasundaram"
"Fan Wang","Gagan Agrawal"
"Nedim Lipka","Benno Stein"
"Haoxiang Li","Zhe Lin 0001"
"Hyun Soo Park","Yaser Sheikh"
"Panagiotis Symeonidis","Yannis Manolopoulos"
"Apostolos N. Papadopoulos","Yannis Manolopoulos"
"Daniel Alexander Ford","Stavros Christodoulakis"
"Krishnaram Kenthapadi","Sreenivas Gollapudi"
"Faris Alqadah","Raj Bhatnagar"
"Abhinandan Das","Mirek Riedewald"
"Séamus Lawless","Maristella Agosti"
"Hung-Leng Chen","Kun-Ta Chuang"
"Lian Liu","Jie Wang"
"Ran Xu","Jason J. Corso"
"Guannan Liu","Hengshu Zhu"
"Shantanu Chakrabartty","Gert Cauwenberghs"
"Xinghua Lou","Fred A. Hamprecht"
"Björn Andres","Fred A. Hamprecht"
"George Samaras","Evaggelia Pitoura"
"Amir Saffari","Christian Leistner"
"Mohammed Kayed","Chia-Hui Chang"
"Claudio Bettini","Xiaoyang Sean Wang"
"Fusheng Wang","Xiaofeng Meng"
"Luca Del Pero","Kobus Barnard"
"Patricia Iglesias Sanchez","Klemens Böhm"
"Xin Lin","Haibo Hu"
"Badrinath Roysam","Charles V. Stewart"
"Vassil Chatalbashev","Benjamin Taskar"
"Ken C. K. Lee","Baihua Zheng"
"Hema Swetha Koppula","Ashutosh Saxena"
"Xiaoshi Yin","Zhoujun Li"
"Yongfeng Zhang","Yiqun Liu"
"Stephen Boyer","Ying Chen"
"Cong Yao","Xiang Bai"
"Zeyuan Allen Zhu","Weizhu Chen"
"Chenguang Zhu","Weizhu Chen"
"Philipp Krähenbühl","Vladlen Koltun"
"Xiubo Geng","Tao Qin"
"Kota Yamaguchi","Tamara L. Berg"
"Georgios Tziritas","Nikos Komodakis"
"Isaac K. Tetteh","Nagiza F. Samatova"
"Umberto Castellani","Marco Cristani"
"Peter Mork","Jayant Madhavan"
"Kuang Chen","Jayant Madhavan"
"Jean-Philippe Tarel","David B. Cooper"
"Abhijit Pol","Chris Jermaine"
"Manolis I. A. Lourakis","Antonis A. Argyros"
"Peter Bailis","Ali Ghodsi"
"Renato Ferreira","Adriano Veloso"
"Manas Joglekar","Aditya G. Parameswaran"
"Shiau Hong Lim","Yudong Chen"
"Xudong Cao","Yichen Wei"
"Cyril Furtlehner","Xiangliang Zhang"
"Qin Ding","William Perrizo"
"Boris Epshtein","Shimon Ullman"
"Xun Cao","Qionghai Dai"
"Gabriel Ghinita","Panos Kalnis"
"Patrick Grother","P. Jonathon Phillips"
"Geof H. Givens","P. Jonathon Phillips"
"Yongfeng Zhang","Min Zhang 0006"
"Roman Sandler","Michael Lindenbaum"
"Joseph Bockhorst","Mark Craven"
"Chaokun Wang","Jun Zhang"
"Christine M. O'Keefe","Huidong Jin"
"Altigran Soares da Silva","Edleno Silva de Moura"
"Jungsoon P. Yoo","Douglas H. Fisher"
"Yongfeng Zhang","Shaoping Ma"
"Yong Seok Heo","Sang Uk Lee"
"Hichem Sahbi","Renaud Keriven"
"Tobias Mayr","Praveen Seshadri"
"Andrew D. Bagdanov","Joost van de Weijer"
"Hassan H. Malik","John R. Kender"
"Shuai Huang","Jing Li"
"Xiao Bai 0001","Jian Cheng"
"Mark E. Nelson","James M. Bower"
"Ian Spiro","Graham W. Taylor"
"Andrea Esuli","Fabrizio Sebastiani 0001"
"Adam Marcus 0002","David R. Karger"
"Micah Sherr","Boon Thau Loo"
"Mengmeng Liu","Boon Thau Loo"
"Yaliang Li","Bo Zhao"
"Yi-Min Wang","Ahmed Hassan Awadallah"
"Xutao Li","Yunming Ye"
"Masashi Shimbo","Yuji Matsumoto"
"Yunpeng Cai","Yijun Sun"
"Yanif Ahmad","Ugur Çetintemel"
"Sami Romdhani","Thomas Vetter"
"Ion Muslea","Steven Minton"
"Gregorij Kurillo","Ruzena Bajcsy"
"Yanwei Pang","Rui Cai"
"Matthias Wolf","Le Lu"
"Pei Li","Jun He"
"Weihong Deng","Jun Guo"
"Haoxiang Li","Jonathan Brandt"
"Sucheta Soundarajan","John E. Hopcroft"
"Debasis Ganguly","Johannes Leveling"
"Nguyen Xuan Vinh","Jeffrey Chan"
"Pei Li","Hongyan Liu"
"Lorraine Goeuriot","Henning Müller"
"Aitao Chen","Fredric C. Gey"
"Stefano Ermon","Bart Selman"
"Nils Pharo","Antoine Doucet"
"Xiaoguang Wang","Allen R. Hanson"
"Davide Mottin","Yannis Velegrakis"
"Son T. Mai","Xiao He"
"Yun Zeng","Xianfeng Gu"
"Stephen Boyer","W. Scott Spangler"
"Takeshi Tokuyama","Shinichi Morishita"
"Sungwon Jung","Sakti Pramanik"
"Richard Scheines","Ricardo Bezerra de Andrade e Silva"
"Oriol Pujol","Petia Radeva"
"Huanhuan Chen","Peter Tiño"
"Abhijith Kashyap","Michalis Petropoulos"
"Jie Chen 0001","Matti Pietikäinen"
"Rita P. Ribeiro","Luís Torgo"
"Lu Zhang","Laurens van der Maaten"
"Jonathan Chang","Jordan L. Boyd-Graber"
"Eric Cosatto","Hans Peter Graf"
"Jahna Otterbacher","Dragomir R. Radev"
"Benjamin Schlegel","Dirk Habich"
"Morgan Harvey","David Elsweiler"
"Konstantina Palla","David A. Knowles"
"Robson Leonardo Ferreira Cordeiro","Caetano Traina Jr."
"Manas A. Pathak","Bhiksha Raj"
"Ariel Kleiner","Ameet Talwalkar"
"Fabio Aiolli","Alessandro Sperduti"
"Marko Boben","Ales Leonardis"
"Andrew D. Back","Ah Chung Tsoi"
"Zhiqi Zhang","Yu Cao"
"Jarrell W. Waggoner","Yu Cao"
"Xiaojie Guo","Xiaochun Cao"
"Alex D. Leow","Stanley Osher"
"TaeHyun Hwang","Rui Kuang"
"Nisheeth Srivastava","Paul R. Schrater"
"Sudip Roy 0002","Nitin Gupta 0003"
"Matthias Wolf","Marcos Salganicoff"
"Rong Chen","Krishnamoorthy Sivakumar"
"Sara Hajian","Josep Domingo-Ferrer"
"Mingqiang Xue","Huayu Wu"
"Christine M. O'Keefe","Hongxing He"
"Aviv Tamar","Dotan Di Castro"
"Efstratios Gavves","Cees G. M. Snoek"
"Orly Liphstat","Yonatan Aumann"
"Mingqiang Xue","Wee Siong Ng"
"Marco Bonzanini","Thomas Roelleke"
"Sanghyun Park","Sang-Wook Kim"
"Peter Kontschieder","Samuel Rota Bulò"
"Jian Dong","Qiang Chen"
"Eric Royer","Michel Dhome"
"Jorge Pérez 0001","Marcelo Arenas"
"Lei Cen","Hongxia Jin"
"Nan Ye","Hai Leong Chieu"
"Raya Fidel","Efthimis N. Efthimiadis"
"William Bohrer","Darrell Woelk"
"Steve R. Waterhouse","Anthony J. Robinson"
"William O'Connell","Alexandros Biliris"
"Haytham Elghazel","Alex Aussem"
"Jian Lu","Yuan Yao"
"Pavel Braslavski","Yana Volkovich"
"Houssam Nassif","Vítor Santos Costa"
"Alexander Gammerman","Volodya Vovk"
"Deepak Venugopal","Vibhav Gogate"
"Hamid Reza Maei","Shalabh Bhatnagar"
"Vijay Chandrasekhar","Radek Grzeszczuk"
"Kiyoko F. Aoki-Kinoshita","Nobuhisa Ueda"
"Nils Pharo","Monica Landoni"
"Dongbo Min","Minh N. Do"
"Wolf Kienzle","Matthias O. Franz"
"William Bohrer","Marian H. Nodine"
"João F. G. de Freitas","Mahesan Niranjan"
"Aidong Lu","Leting Wu"
"Razvan Pascanu","KyungHyun Cho"
"Zonghuan Wu","King-Lup Liu"
"Yusuke Suzuki","Kenichi Takahashi"
"John Wawrzynek","John Lazzaro"
"Pradeep Buddharaju","Ioannis T. Pavlidis"
"Takeshi Kurashima","Hiroshi Sawada"
"Yusuke Suzuki","Hiroaki Ueda"
"Marco Mesiti","Giovanna Guerrini"
"Rui Zhang 0003","Egemen Tanin"
"Fang Chen","Yang Wang 0002"
"Shuai Huang","Teresa Wu"
"Kiyana Zolfaghar","Si-Chi Chin"
"Adam Marcus 0002","Robert C. Miller"
"Jiyang Chen","Randy Goebel"
"Felix Heide","Matthias B. Hullin"
"Dae Hoon Park","Lifan Guo"
"Shuai Huang","Kewei Chen"
"Lian Liu","Jun Zhang 0001"
"Chris S. Wallace","Jonathan J. Oliver"
"Christine M. O'Keefe","Jie Chen 0004"
"Sebastian Schuon","James E. Davis"
"Luh Yen","François Fouss"
"Yiannis Gkoufas","Francesco Calabrese"
"Battista Biggio","Fabio Roli"
"William O'Connell","Euthimios Panagos"
"Shuai Huang","Eric Reiman"
"Weidong Cai","David Dagan Feng"
"Cho-Jui Hsieh","Inderjit S. Dhillon"
"Li Guo","Peng Zhang"
"Hengshu Zhu","Hui Xiong"
"Xiang Wang","Ian Davidson"
"Zhifeng Hao","Philip S. Yu"
"Shuiwang Ji","Jieping Ye"
"Jen-Wei Huang","Ming-Syan Chen"
"Hidenao Abe","Shusaku Tsumoto"
"Sudheendra Vijayanarasimhan","Kristen Grauman"
"Qi Liu","Enhong Chen"
"Qingshan Liu","Dimitris N. Metaxas"
"Maria Halkidi","Michalis Vazirgiannis"
"Hardy Kremer","Stephan Günnemann"
"Ljupco Todorovski","Saso Dzeroski"
"Gang Wu","Edward Y. Chang"
"Cheng-Te Li","Shou-De Lin"
"Piyush Rai","Hal Daumé III"
"Rakesh Kumar 0001","Harpreet S. Sawhney"
"Nicola Barbieri","Giuseppe Manco"
"Zhifeng Bao","Tok Wang Ling"
"Stephan Günnemann","Thomas Seidl 0001"
"Abdur Chowdhury","Ophir Frieder"
"Jae-Gil Lee","Jiawei Han"
"Nemanja Petrovic","Thomas S. Huang"
"Bin Liu","Hui Xiong"
"J. Zico Kolter","Andrew Y. Ng"
"Zi Yang","Jie Tang"
"Honglei Zhuang","Jie Tang"
"Si Si","Inderjit S. Dhillon"
"Yasin Abbasi-Yadkori","Peter L. Bartlett"
"Yiming Ma","Bing Liu 0001"
"Pierangela Samarati","Elisa Bertino"
"Mingyuan Zhou","Lawrence Carin"
"Zhenyue Zhang","Hongyuan Zha"
"Jeremy Kubica","Andrew W. Moore 0001"
"Jonathan Balzer","Stefano Soatto"
"Alessandro Bissacco","Stefano Soatto"
"Karthik Raman","Thorsten Joachims"
"Dingyi Han","Yong Yu"
"Vlad I. Morariu","Larry S. Davis"
"Geremy Heitz","Daphne Koller"
"Bhavana Bharat Dalvi","William W. Cohen"
"Sung Ju Hwang","Kristen Grauman"
"Marius Leordeanu","Martial Hebert"
"Alina Beygelzimer","John Langford"
"Huiping Cao","Nikos Mamoulis"
"Dan Zhang","Luo Si"
"Binbin Lin","Xiaofei He"
"Amit Daniely","Shai Shalev-Shwartz"
"Stanley Kok","Pedro M. Domingos"
"Liang Xiong","Jeff G. Schneider"
"Giovanni Zappella","Nicolò Cesa-Bianchi"
"Fabio Vitale","Nicolò Cesa-Bianchi"
"S. S. Ravi","Ian Davidson"
"Yashar Moshfeghi","Joemon M. Jose"
"Wei Chen 0025","Wynne Hsu"
"Ruth Urner","Shai Ben-David"
"Björn Stenger","Roberto Cipolla"
"Jiannan Wang","Guoliang Li"
"Margrit Gelautz","Carsten Rother"
"Rahul Gupta","Sunita Sarawagi"
"Jesse Read","Bernhard Pfahringer"
"Masahiro Kimura","Hiroshi Motoda"
"Wei Chen 0025","Mong-Li Lee"
"Jonathan Taylor","Andrew W. Fitzgibbon"
"Jiannan Wang","Jianhua Feng"
"Thomas Serre","Tomaso A. Poggio"
"Eric SanJuan","Shlomo Geva"
"Bo Pang","Evgeniy Gabrilovich"
"Guimei Liu","Limsoon Wong"
"Yuanyuan Ding","Jingyi Yu"
"Huiping Cao","David W. Cheung"
"Hock Hee Ang","Wee Keong Ng"
"Byron M. Yu","Maneesh Sahani"
"Eric SanJuan","Andrew Trotman"
"Irene Ntoutsi","Yannis Theodoridis"
"Eric SanJuan","Gabriella Kazai"
"Arnold P. Boedihardjo","Chang-Tien Lu"
"Eric SanJuan","Marijn Koolen"
"Jean-Sébastien Franco","Edmond Boyer"
"Ciya Liao","Zhaohui Zheng"
"Wojciech Ziarko","S. K. Michael Wong"
"Nathan Jacobs","Robert Pless"
"Zhicheng Dou","Ruihua Song"
"Geetha Jagannathan","Rebecca N. Wright"
"Yuanyuan Ding","Jing Xiao"
"Philippe Fournier-Viger","Cheng-Wei Wu"
"Eric SanJuan","Antoine Doucet"
"Bo Geng","Linjun Yang"
"Fei Wang 0002","David Beymer"
"Yiming Ying","Colin Campbell"
"Margrit Gelautz","Christoph Rhemann"
"Jiwen Lu","Yap-Peng Tan"
"Soma Biswas","Gaurav Aggarwal"
"Clint Scovel","Don R. Hush"
"Dong Xin","Jiawei Han"
"Lijun Zhang 0005","Rong Jin"
"Cheng-Wei Wu","Philip S. Yu"
"Yongjian Fu","Jiawei Han"
"Bi-Ru Dai","Ming-Syan Chen"
"Bingbing Ni","Shuicheng Yan"
"Wenjun Zhou","Hui Xiong"
"Pradeep K. Ravikumar","Inderjit S. Dhillon"
"Prasenjit Mitra","C. Lee Giles"
"Noam Slonim","Naftali Tishby"
"Andrew C. Gallagher","Tsuhan Chen"
"Kai Zheng","Xiaofang Zhou"
"Junming Shao","Christian Böhm"
"Tias Guns","Luc De Raedt"
"Junming Shao","Claudia Plant"
"Zhao Xu","Kristian Kersting"
"Jialu Liu","Chi Wang 0001"
"Shahram Izadi","Andrew W. Fitzgibbon"
"Dawei Yin","Brian D. Davison 0001"
"Ruiping Wang","Shiguang Shan"
"Johannes Leveling","Gareth J. F. Jones"
"Chuan Shi","Bin Wu"
"Harikrishna Narasimhan","Shivani Agarwal 0001"
"Antoine Doucet","Gabriella Kazai"
"Steven Minton","Craig A. Knoblock"
"Shinjae Yoo","Hao Huang"
"Qinming He","Hao Huang"
"Arvind Arasu","Raghav Kaushik"
"Patrick Lucey","Iain A. Matthews"
"Weiguo Fan","Zheng Chen"
"Aditya G. Parameswaran","Hector Garcia-Molina"
"Mohammad M. Masud","Jing Gao"
"Jun Wang 0006","Shih-Fu Chang"
"Motoaki Kawanabe","Klaus-Robert Müller"
"Haibin Cheng","Pang-Ning Tan"
"Bin He","Kevin Chen-Chuan Chang"
"Tao Xiang","Shaogang Gong"
"Ondrej Chum","Jiri Matas"
"Ira Assent","Thomas Seidl 0001"
"Shaohua Kevin Zhou","Dorin Comaniciu"
"Sanja Fidler","Raquel Urtasun"
"Jiong Yang","Wei Wang 0010"
"Bugra Gedik","Philip S. Yu"
"Quanquan Gu","Jiawei Han"
"Zhenhui Li","Jiawei Han"
"Tianyi Wu","Jiawei Han"
"Leman Akoglu","Christos Faloutsos"
"Fan Guo","Christos Faloutsos"
"Jie Wang","Jieping Ye"
"Tao Xiong","Jieping Ye"
"Mi-Yen Yeh","Ming-Syan Chen"
"Matthias O. Franz","Bernhard Schölkopf"
"Karthik Subbian","Charu C. Aggarwal"
"Dou Shen","Qiang Yang 0001"
"Jiangtao Ren","Wei Fan"
"Hairong Liu","Shuicheng Yan"
"Yanchi Liu","Hui Xiong"
"Deguang Kong","Chris H. Q. Ding"
"Xiao Cai","Chris H. Q. Ding"
"Elke Achtert","Hans-Peter Kriegel"
"Tom Yeh","Trevor Darrell"
"Mahesh V. Joshi","Vipin Kumar"
"Jian Hu","Zheng Chen"
"Hua Li","Zheng Chen"
"Nahum Shimkin","Shie Mannor"
"Edgar Meij","Maarten de Rijke"
"Limin Yao","Jie Tang"
"Li Zhang 0007","Jie Tang"
"Gabriel Pui Cheong Fung","Jeffrey Xu Yu"
"Meihui Zhang","Beng Chin Ooi"
"James M. Coughlan","Alan L. Yuille"
"Georgiana Ifrim","Gerhard Weikum"
"Daniel Tunkelang","Ryen W. White"
"Debora Donato","Aristides Gionis"
"Sanjay Agrawal","Surajit Chaudhuri"
"Ramakrishnan Srikant","Rakesh Agrawal"
"Alex Holub","Pietro Perona"
"Christoph Strecha","Luc J. Van Gool"
"Liang Wang 0001","Kotagiri Ramamohanarao"
"Marimuthu Palaniswami","Kotagiri Ramamohanarao"
"Barbara Catania","Elisa Bertino"
"Saad Ali","Mubarak Shah"
"John William Paisley","Lawrence Carin"
"Gordon Sun","Hongyuan Zha"
"Shengqi Yang","Xifeng Yan"
"Gu Xu","Hang Li"
"Zhiming Ma","Hang Li"
"Jonathan T. Barron","Jitendra Malik"
"Amol Ghoting","Srinivasan Parthasarathy"
"Gang Niu","Masashi Sugiyama"
"Ramesh Nallapati","William W. Cohen"
"Roozbeh Mottaghi","Raquel Urtasun"
"Karthik Subbian","Jaideep Srivastava"
"Herve Jegou","Cordelia Schmid"
"Meng Fang","Xingquan Zhu"
"Zhihua Cai","Xingquan Zhu"
"Dingming Wu","Nikos Mamoulis"
"Bugra Gedik","Ling Liu"
"Sebastian Mika","Klaus-Robert Müller"
"Takashi Onoda","Klaus-Robert Müller"
"Alexandra Carpentier","Rémi Munos"
"Yu-Ru Lin","Jimeng Sun"
"Nut Limsopatham","Iadh Ounis"
"Mohammad Mahdian","Ravi Kumar"
"Dmitry Lagun","Eugene Agichtein"
"Martha White","Dale Schuurmans"
"Nan Zhang 0004","Gautam Das"
"Nut Limsopatham","Craig Macdonald"
"Zhihua Cai","Chengqi Zhang"
"Daniel M. Roy","Yee Whye Teh"
"Atul Kanaujia","Dimitris N. Metaxas"
"Peng Yang","Dimitris N. Metaxas"
"Niels Landwehr","Tobias Scheffer"
"Huchuan Lu","Ming-Hsuan Yang"
"Xu Sun","Hisashi Kashima"
"Oren Freifeld","Michael J. Black"
"Kai Wang","Tat-Seng Chua"
"Fernando Pereira","Koby Crammer"
"Robert A. Legenstein","Wolfgang Maass"
"Nadav Eiron","Shai Ben-David"
"Dávid Pál","Shai Ben-David"
"Yunyue Zhu","Dennis Shasha"
"Claudia Plant","Christian Böhm"
"Ross W. Gayler","Peter Christen"
"Xin Dong 0001","Alon Y. Halevy"
"Mirco Nanni","Fosca Giannotti"
"Takehiro Yamamoto","Tetsuya Sakai"
"Manmohan Krishna Chandraker","David J. Kriegman"
"Dafna Shahaf","Carlos Guestrin"
"Minsu Cho","Kyoung Mu Lee"
"Xiang Sean Zhou","Dorin Comaniciu"
"Kevin Y. Yip","Ben Kao"
"Xin Liu","Yihong Gong"
"Bin Tong","Einoshin Suzuki"
"Lingqiao Liu","Chunhua Shen"
"Malú Castellanos","Umeshwar Dayal"
"Brian Curless","Steven M. Seitz"
"Lluis Garcia Pueyo","Vanja Josifovski"
"Brigitte Boden","Stephan Günnemann"
"Cun-Hui Zhang","Ping Li 0001"
"Songtao Guo","Xintao Wu"
"John Grant","V. S. Subrahmanian"
"Willem Waegeman","Eyke Hüllermeier"
"Aharon Bar-Hillel","Daphna Weinshall"
"Marina Danilevsky","Chi Wang 0001"
"Svetlozar Nestorov","Serge Abiteboul"
"Marco Cristo","Marcos André Gonçalves"
"Lan Nie","Brian D. Davison 0001"
"Jonathan Goldstein","Per-Åke Larson"
"Georgios Tzimiropoulos","Maja Pantic"
"Steffen Rendle","Lars Schmidt-Thieme"
"Ping Yan","Kevin W. Bowyer"
"J. Saketha Nath","Chiranjib Bhattacharyya"
"Xiaoli Zhang Fern","Carla E. Brodley"
"Byron C. Wallace","Carla E. Brodley"
"Xuan Zhou","Wolfgang Nejdl"
"Piero Fraternali","Stefano Ceri"
"Chang-Shing Perng","Sheng Ma"
"Xu Sun","Naonori Ueda"
"Liang Wang 0001","Christopher Leckie"
"Shixia Liu","Yangqiu Song"
"Georgios Tzimiropoulos","Stefanos Zafeiriou"
"Anton Dries","Siegfried Nijssen"
"Mostafa Keikha","Fabio Crestani"
"Abhishek Sharma","David W. Jacobs"
"Yuanjie Zheng","Chandra Kambhamettu"
"Yao Zhang","B. Aditya Prakash"
"Meirav Galun","Ronen Basri"
"Alexandrin Popescul","Lyle H. Ungar"
"Ricardo J. G. B. Campello","Jörg Sander"
"Shumo Chu","James Cheng"
"Debora Donato","Carlos Castillo"
"Luca Becchetti","Carlos Castillo"
"Wenyuan Li","Wee Keong Ng"
"Roozbeh Mottaghi","Sanja Fidler"
"Mehrtash Tafazzoli Harandi","Mathieu Salzmann"
"Ameesh Makadia","Kostas Daniilidis"
"Mahito Sugiyama","Karsten M. Borgwardt"
"Daniela Pucci de Farias","Benjamin Van Roy"
"Sanjay Agrawal","Vivek R. Narasayya"
"James Cheney","Peter Buneman"
"Gabriel Bender","Christoph Koch 0001"
"Inderpal Narang","C. Mohan"
"Hiroshi Sawada","Tomoharu Iwata"
"Ying Cui","Jennifer G. Dy"
"Zhuang Wang","Slobodan Vucetic"
"Timothy M. Hospedales","Shaogang Gong"
"Jaakko Peltonen","Samuel Kaski"
"Jie Cao","Junjie Wu"
"Lina Yao","Xue Li"
"Timothy T. Rogers","Xiaojin Zhu"
"Ankur Moitra","Rong Ge"
"Yunchao Gong","Svetlana Lazebnik"
"Xingjie Liu","Mao Ye"
