Student,Advisor
"Jia Wu","Xingquan Zhu"
"Lianhua Chi","Xingquan Zhu"
"Peifeng Yin","Wang-Chien Lee"
"Xingjie Liu","Wang-Chien Lee"
"Dinh Q. Phung","Svetha Venkatesh"
"Sunil Kumar Gupta","Svetha Venkatesh"
"Santu Rana","Svetha Venkatesh"
"Duc-Son Pham","Svetha Venkatesh"
"Budhaditya Saha","Svetha Venkatesh"
"Hung Hai Bui","Svetha Venkatesh"
"Truyen Tran","Svetha Venkatesh"
"Patrick Peursum","Svetha Venkatesh"
"Brett Adams","Svetha Venkatesh"
"Tran The Truyen","Svetha Venkatesh"
"Dinh Phung","Svetha Venkatesh"
"Vishal M. Patel","Rama Chellappa"
"P. Read Montague","Peter Dayan"
"Mohsen Jamali","Martin Ester"
"Zengjian Hu","Martin Ester"
"Flavia Moser","Martin Ester"
"Benjamin Blankertz","Klaus-Robert Müller"
"Andreas Ziehe","Klaus-Robert Müller"
"Vadim V. Nikulin","Klaus-Robert Müller"
"Matthias Krauledat","Klaus-Robert Müller"
"Guido Nolte","Klaus-Robert Müller"
"Guido Dornhege","Klaus-Robert Müller"
"Frank C. Meinecke","Klaus-Robert Müller"
"Peter Bailis","Joseph M. Hellerstein"
"Peter Alvaro","Joseph M. Hellerstein"
"Neil Conway","Joseph M. Hellerstein"
"Alessio Mazzanti","Francesco Bonchi"
"Hanhuai Shan","Arindam Banerjee"
"Huahua Wang","Arindam Banerjee"
"Soumyadeep Chatterjee","Arindam Banerjee"
"Gunjan Gupta","Joydeep Ghosh"
"Meghana Deodhar","Joydeep Ghosh"
"Goo Jun","Joydeep Ghosh"
"Alexander Liu","Joydeep Ghosh"
"King-Lup Liu","Clement T. Yu"
"Zonghuan Wu","Clement T. Yu"
"Hongkun Zhao","Clement T. Yu"
"Yiyao Lu","Clement T. Yu"
"K. Lam","Clement T. Yu"
"Hai He","Clement T. Yu"
"Qifan Wang","Luo Si"
"Dzung Hong","Luo Si"
"Suleyman Cetintas","Luo Si"
"Robert Chen","Jimeng Sun"
"Henry Allen Feild","James Allan"
