Name,Cooperator,Support,Confidence,Weight
"Alok N. Choudhary","Ankit Agrawal",18,0.5806451612903226,0.620245636496025
"Yun Sing Koh","Russel Pears",9,0.6,0.6198002376028512
"Lawrence B. Holder","Diane J. Cook",13,0.5909090909090909,0.6195094341132094
"David B. Dunson","Lawrence Carin",14,0.5833333333333334,0.6141337029377686
"Bart Selman","Stefano Ermon",6,0.6,0.6132001584019008
"Svetha Venkatesh","Dinh Q. Phung",27,0.5510204081632653,0.610421120971819
"Yu Cheng","Ankit Agrawal",10,0.5882352941176471,0.6102355581208151
"Adnan Darwiche","Arthur Choi",3,0.6,0.6066000792009504
"Chang-Tien Lu","Feng Chen",11,0.5789473684210527,0.6031476588245375
"Guofei Jiang","Haifeng Chen",7,0.5833333333333334,0.598733518135551
"Mario Marchand","François Laviolette",12,0.5714285714285714,0.597828888232373
"James Cheng","Yiping Ke",13,0.5652173913043478,0.5938177345084662
"Dongqing Yang","Tengjiao Wang",8,0.5714285714285714,0.5890287826311058
"Wei Wang 0009","Baile Shi",15,0.5555555555555556,0.5885559515603076
"Yihong Gong","Shenghuo Zhu",17,0.5483870967741935,0.5857875455795791
"Bruce A. Draper","J. Ross Beveridge",9,0.5625,0.5823002376028512
"Xifeng Yan","Jiawei Han",29,0.5178571428571429,0.5816579084663303
"Adam Silberstein","Brian F. Cooper",4,0.5714285714285714,0.5802286770298386
"Ankit Agrawal","Yu Cheng",10,0.5555555555555556,0.5775558195587236
"Ming Yang","Ying Wu",11,0.55,0.5742002904034849
"Andrew Trotman","Shlomo Geva",12,0.5454545454545454,0.571854862258347
"Shipeng Yu","Kai Yu",13,0.5416666666666666,0.570267009870785
"Spiros Papadimitriou","Christos Faloutsos",15,0.5357142857142857,0.5687146817190377
"Divyakant Agrawal","Amr El Abbadi",17,0.53125,0.5686504488053856
"Wei Ding 0003","Xindong Wu",16,0.5333333333333333,0.5685337557384021
"Chotirat Ann Ratanamahatana","Vit Niennattrakul",5,0.5555555555555556,0.5665556875571396
"Alkis Simitsis","Kevin Wilkinson",6,0.5454545454545454,0.5586547038564462
"Takashi Washio","Hiroshi Motoda",19,0.5135135135135135,0.5553140151195327
"Alan J. Demers","Walker M. White",7,0.5384615384615384,0.553861723263756
"Assaf Schuster","Ran Wolff",8,0.5333333333333333,0.5509335445358677
"Nello Cristianini","John Shawe-Taylor",14,0.5185185185185185,0.5493188881229537
"Thomas Neumann 0001","Alfons Kemper",9,0.5294117647058824,0.5492120023087336
"Xiangji Huang","Aijun An",10,0.5263157894736842,0.5483160534768522
"Yoichi Sato","Imari Sato",12,0.5217391304347826,0.5481394472385842
"Wagner Meira Jr.","Adriano Veloso",11,0.5238095238095238,0.5480098142130087
"Nicolò Cesa-Bianchi","Claudio Gentile",21,0.5,0.5462005544066528
"Eyke Hüllermeier","Weiwei Cheng",14,0.5,0.5308003696044352
"Diane J. Cook","Lawrence B. Holder",13,0.5,0.5286003432041184
"Zheng Chen","Jun Yan",34,0.4533333333333333,0.5281342309441046
"Shlomo Geva","Andrew Trotman",12,0.5,0.5264003168038016
